antecedents,consequents
banana,coffee
biscuit,beef
bread,beef
butter,beef
chocolate,beef
coffee,beef
beef,coffee
corn flour,beef
lettuce,beef
lime,beef
mushroom,beef
onion,beef
pepper,beef
sausage,beef
scallop,beef
soft drink,beef
sponge cake,beef
tomato,beef
veal,beef
water,beef
wine,beef
biscuit,coffee
bread,coffee
bread,flour
bread,wine red
butter,coffee
butter,flour
butter,wine red
cheese cream,coffee
chicken,flour
chocolate,coffee
chocolate,flour
cooking oil,coffee
corn flour,coffee
fruit juice,coffee
lettuce,coffee
onion,coffee
pastry,coffee
potato,coffee
sausage,coffee
tomato,coffee
veal,coffee
water,coffee
wine,coffee
wine red,coffee
coffee,wine red
wine white,coffee
cooking oil,wine red
fruit juice,flour
grapefruit,flour
lamb,flour
lettuce,flour
mushroom,flour
pasta,flour
pork,flour
potato,flour
sausage,flour
sponge cake,flour
tomato,flour
veal,flour
wine,flour
wine white,flour
fruit juice,wine red
grapefruit,wine red
lettuce,wine red
lime,wine red
onion,wine red
orange,wine red
pasta,wine red
pastry,wine red
potato,wine red
sausage,wine red
soft drink,wine red
sponge cake,wine red
tomato,wine red
wine,wine red
"banana,chocolate",beef
"banana,coffee",beef
"banana,beef",coffee
banana,"beef,coffee"
"banana,sponge cake",beef
"banana,chocolate",flour
"banana,flour",coffee
"banana,wine red",coffee
"banana,coffee",wine red
"banana,wine white",coffee
"banana,orange",wine red
"biscuit,coffee",beef
"beef,biscuit",coffee
biscuit,"beef,coffee"
"bread,coffee",beef
"beef,bread",coffee
bread,"beef,coffee"
"bread,flour",beef
"beef,bread",flour
bread,"beef,flour"
"bread,wine red",beef
"beef,bread",wine red
bread,"beef,wine red"
"bread,wine white",beef
"butter,chocolate",beef
"butter,coffee",beef
"beef,butter",coffee
butter,"beef,coffee"
"butter,flour",beef
"beef,butter",flour
butter,"beef,flour"
"butter,orange",beef
"butter,sponge cake",beef
"butter,wine red",beef
"beef,butter",wine red
butter,"beef,wine red"
"butter,wine white",beef
"cake mix,chocolate",beef
"cake mix,sponge cake",beef
"beef,cheese cream",coffee
cheese cream,"beef,coffee"
"chicken,coffee",beef
"beef,chicken",coffee
"chicken,corn flour",beef
"beef,chicken",flour
"chocolate,coffee",beef
"beef,chocolate",coffee
chocolate,"beef,coffee"
"chocolate,corn flour",beef
"beef,chocolate",flour
chocolate,"beef,flour"
"chocolate,lime",beef
"chocolate,mushroom",beef
"chocolate,orange",beef
"chocolate,sponge cake",beef
"chocolate,water",beef
"chocolate,wine",beef
"beef,cooking oil",coffee
cooking oil,"beef,coffee"
"beef,corn flour",coffee
"coffee,corn flour",beef
corn flour,"beef,coffee"
"coffee,flour",beef
"beef,flour",coffee
coffee,"beef,flour"
"beef,fruit juice",coffee
"coffee,lamb",beef
"coffee,lettuce",beef
"beef,lettuce",coffee
lettuce,"beef,coffee"
"coffee,lime",beef
"coffee,mushroom",beef
"coffee,onion",beef
"beef,onion",coffee
onion,"beef,coffee"
"coffee,pasta",beef
"beef,pastry",coffee
pastry,"beef,coffee"
"coffee,pork",beef
"beef,pork",coffee
"beef,potato",coffee
"coffee,potato",beef
potato,"beef,coffee"
"coffee,sausage",beef
"beef,sausage",coffee
sausage,"beef,coffee"
"coffee,scallop",beef
"coffee,soft drink",beef
"coffee,sponge cake",beef
sponge cake,"beef,coffee"
"coffee,tea green",beef
"coffee,tomato",beef
"beef,tomato",coffee
tomato,"beef,coffee"
"coffee,veal",beef
"beef,veal",coffee
veal,"beef,coffee"
"coffee,water",beef
"beef,water",coffee
water,"beef,coffee"
"coffee,wine",beef
"beef,wine",coffee
wine,"beef,coffee"
"coffee,wine red",beef
"beef,wine red",coffee
"beef,coffee",wine red
wine red,"beef,coffee"
coffee,"beef,wine red"
"coffee,wine white",beef
"beef,wine white",coffee
wine white,"beef,coffee"
"corn flour,flour",beef
corn flour,"beef,flour"
"corn flour,orange",beef
"corn flour,scallop",beef
"corn flour,soft drink",beef
"corn flour,sponge cake",beef
"corn flour,veal",beef
"corn flour,wine red",beef
corn flour,"beef,wine red"
"beef,fruit juice",flour
"beef,grapefruit",flour
grapefruit,"beef,flour"
"beef,lamb",flour
lamb,"beef,flour"
"flour,lettuce",beef
"beef,lettuce",flour
lettuce,"beef,flour"
"flour,lime",beef
lime,"beef,flour"
"flour,mushroom",beef
"beef,mushroom",flour
mushroom,"beef,flour"
"flour,onion",beef
onion,"beef,flour"
"beef,pasta",flour
pasta,"beef,flour"
"beef,potato",flour
potato,"beef,flour"
"flour,sausage",beef
sausage,"beef,flour"
"flour,scallop",beef
"flour,sponge cake",beef
"beef,sponge cake",flour
sponge cake,"beef,flour"
"flour,tomato",beef
"beef,tomato",flour
tomato,"beef,flour"
"beef,veal",flour
veal,"beef,flour"
"flour,water",beef
"flour,wine",beef
"beef,wine",flour
wine,"beef,flour"
"beef,wine white",flour
wine white,"beef,flour"
"beef,fruit juice",wine red
"beef,grapefruit",wine red
grapefruit,"beef,wine red"
"lettuce,wine red",beef
"beef,lettuce",wine red
lettuce,"beef,wine red"
"lime,orange",beef
"lime,pork",beef
"lime,sponge cake",beef
"lime,veal",beef
"lime,wine red",beef
"beef,lime",wine red
lime,"beef,wine red"
"lime,wine white",beef
"mushroom,orange",beef
"mushroom,pork",beef
"mushroom,sponge cake",beef
"mushroom,veal",beef
"mushroom,wine red",beef
"mushroom,wine white",beef
"onion,wine red",beef
"beef,onion",wine red
onion,"beef,wine red"
"orange,scallop",beef
"orange,water",beef
"orange,wine",beef
"beef,orange",wine red
orange,"beef,wine red"
"beef,pasta",wine red
pasta,"beef,wine red"
"beef,pastry",wine red
pastry,"beef,wine red"
"pork,scallop",beef
"pork,water",beef
"pork,wine",beef
"beef,potato",wine red
potato,"beef,wine red"
"sausage,wine red",beef
"beef,sausage",wine red
sausage,"beef,wine red"
"scallop,sponge cake",beef
"scallop,veal",beef
"scallop,wine red",beef
"scallop,wine white",beef
"soft drink,sponge cake",beef
"beef,soft drink",wine red
soft drink,"beef,wine red"
"sponge cake,water",beef
"sponge cake,wine",beef
"sponge cake,wine red",beef
"beef,sponge cake",wine red
sponge cake,"beef,wine red"
"sponge cake,wine white",beef
"tomato,wine red",beef
tomato,"beef,wine red"
"tomato,wine white",beef
"veal,water",beef
"veal,wine",beef
"water,wine red",beef
"water,wine white",beef
"wine,wine red",beef
"beef,wine",wine red
wine,"beef,wine red"
"wine,wine white",beef
"biscuit,flour",coffee
"biscuit,wine red",coffee
"bread,flour",coffee
"bread,coffee",flour
"bread,wine red",coffee
"bread,coffee",wine red
bread,"flour,wine red"
"butter,chocolate",flour
"butter,chocolate",wine red
"butter,coffee",flour
"butter,wine red",coffee
"butter,coffee",wine red
"butter,orange",flour
"butter,pork",flour
"butter,sponge cake",flour
"butter,veal",flour
"butter,flour",wine red
"butter,wine red",flour
butter,"flour,wine red"
"butter,wine white",flour
"butter,sponge cake",wine red
"cake mix,chocolate",flour
"cake mix,wine white",flour
"chicken,chocolate",flour
"chicken,wine red",coffee
"chicken,coffee",wine red
"chicken,wine white",coffee
"chicken,corn flour",flour
"chicken,pork",flour
"chicken,sponge cake",flour
"chicken,veal",flour
"chicken,wine white",flour
"chicken,sponge cake",wine red
"chocolate,flour",coffee
"chocolate,coffee",flour
"chocolate,pork",coffee
"chocolate,veal",coffee
"chocolate,wine red",coffee
"chocolate,wine white",coffee
"chocolate,corn flour",flour
"chocolate,fruit juice",flour
"chocolate,grapefruit",flour
"chocolate,lime",flour
"chocolate,mushroom",flour
"chocolate,orange",flour
"chocolate,pasta",flour
"chocolate,pork",flour
"chocolate,potato",flour
"chocolate,scallop",flour
"chocolate,soft drink",flour
"chocolate,sponge cake",flour
"chocolate,veal",flour
"chocolate,water",flour
"chocolate,wine",flour
"chocolate,wine red",flour
chocolate,"flour,wine red"
"chocolate,wine white",flour
"chocolate,sponge cake",wine red
"corn flour,flour",coffee
"corn flour,wine red",coffee
"coffee,corn flour",wine red
"corn flour,wine white",coffee
"flour,fruit juice",coffee
"coffee,fruit juice",flour
"coffee,grapefruit",flour
"coffee,lamb",flour
"flour,lettuce",coffee
"coffee,lettuce",flour
"coffee,lime",flour
"coffee,mushroom",flour
"flour,onion",coffee
"coffee,pasta",flour
"coffee,pork",flour
"flour,potato",coffee
"coffee,potato",flour
"flour,sausage",coffee
"coffee,sausage",flour
"coffee,sponge cake",flour
"flour,tomato",coffee
"coffee,veal",flour
"flour,wine",coffee
"coffee,wine",flour
"flour,wine red",coffee
"coffee,flour",wine red
coffee,"flour,wine red"
"flour,wine white",coffee
"coffee,wine white",flour
"fruit juice,wine red",coffee
"coffee,fruit juice",wine red
"coffee,grapefruit",wine red
"grapefruit,wine white",coffee
"coffee,lamb",wine red
"lime,wine red",coffee
"coffee,lime",wine red
"lime,wine white",coffee
"onion,wine red",coffee
"coffee,onion",wine red
"coffee,orange",wine red
"coffee,pasta",wine red
"pork,wine red",coffee
"coffee,pork",wine red
"pork,wine white",coffee
"potato,wine red",coffee
"coffee,potato",wine red
"potato,wine white",coffee
"sausage,wine red",coffee
"coffee,sausage",wine red
"coffee,soft drink",wine red
"sponge cake,veal",coffee
"sponge cake,wine red",coffee
"coffee,sponge cake",wine red
"sponge cake,wine white",coffee
"tomato,wine red",coffee
"coffee,tomato",wine red
"veal,wine red",coffee
"coffee,veal",wine red
"veal,wine white",coffee
"water,wine red",coffee
"water,wine white",coffee
"wine,wine red",coffee
"coffee,wine",wine red
"wine,wine white",coffee
"wine red,wine white",coffee
"coffee,wine white",wine red
"corn flour,sponge cake",flour
"corn flour,veal",flour
"corn flour,sponge cake",wine red
"fruit juice,sponge cake",flour
fruit juice,"flour,wine red"
"fruit juice,wine white",flour
"grapefruit,sponge cake",flour
"flour,grapefruit",wine red
"grapefruit,wine red",flour
grapefruit,"flour,wine red"
"grapefruit,wine white",flour
"lamb,wine red",flour
lamb,"flour,wine red"
"lettuce,wine red",flour
"flour,lettuce",wine red
lettuce,"flour,wine red"
"lime,orange",flour
"lime,veal",flour
"lime,wine white",flour
"mushroom,orange",flour
"mushroom,pork",flour
"mushroom,sponge cake",flour
"mushroom,veal",flour
"mushroom,wine red",flour
"mushroom,wine white",flour
"orange,pasta",flour
"orange,potato",flour
"orange,veal",flour
orange,"flour,wine red"
"pasta,sponge cake",flour
"flour,pasta",wine red
"pasta,wine red",flour
pasta,"flour,wine red"
"pasta,wine white",flour
"flour,pastry",wine red
"pork,potato",flour
"pork,soft drink",flour
"pork,sponge cake",flour
"pork,veal",flour
"pork,wine white",flour
"flour,potato",wine red
