antecedents,consequents
banana,coffee
biscuit,beef
bread,beef
butter,beef
chocolate,beef
coffee,beef
beef,coffee
cornflour,beef
lettuce,beef
lime,beef
mushroom,beef
onion,beef
pepper,beef
sausage,beef
scallop,beef
softdrink,beef
spongecake,beef
tomato,beef
veal,beef
water,beef
wine,beef
biscuit,coffee
bread,coffee
bread,flour
bread,winered
butter,coffee
butter,flour
butter,winered
cheesecream,coffee
chicken,flour
chocolate,coffee
chocolate,flour
cookingoil,coffee
cornflour,coffee
fruitjuice,coffee
lettuce,coffee
onion,coffee
pastry,coffee
potato,coffee
sausage,coffee
tomato,coffee
veal,coffee
water,coffee
wine,coffee
winered,coffee
coffee,winered
winewhite,coffee
cookingoil,winered
fruitjuice,flour
grapefruit,flour
lamb,flour
lettuce,flour
mushroom,flour
pasta,flour
pork,flour
potato,flour
sausage,flour
spongecake,flour
tomato,flour
veal,flour
wine,flour
winewhite,flour
fruitjuice,winered
grapefruit,winered
lettuce,winered
lime,winered
onion,winered
orange,winered
pasta,winered
pastry,winered
potato,winered
sausage,winered
softdrink,winered
spongecake,winered
tomato,winered
wine,winered
"banana,chocolate",beef
"banana,coffee",beef
"banana,beef",coffee
banana,"beef,coffee"
"banana,spongecake",beef
"banana,chocolate",flour
"banana,flour",coffee
"banana,winered",coffee
"banana,coffee",winered
"banana,winewhite",coffee
"banana,orange",winered
"biscuit,coffee",beef
"beef,biscuit",coffee
biscuit,"beef,coffee"
"bread,coffee",beef
"beef,bread",coffee
bread,"beef,coffee"
"bread,flour",beef
"beef,bread",flour
bread,"beef,flour"
"bread,winered",beef
"beef,bread",winered
bread,"beef,winered"
"bread,winewhite",beef
"butter,chocolate",beef
"butter,coffee",beef
"beef,butter",coffee
butter,"beef,coffee"
"butter,flour",beef
"beef,butter",flour
butter,"beef,flour"
"butter,orange",beef
"butter,spongecake",beef
"butter,winered",beef
"beef,butter",winered
butter,"beef,winered"
"butter,winewhite",beef
"cakemix,chocolate",beef
"cakemix,spongecake",beef
"beef,cheesecream",coffee
cheesecream,"beef,coffee"
"chicken,coffee",beef
"beef,chicken",coffee
"chicken,cornflour",beef
"beef,chicken",flour
"chocolate,coffee",beef
"beef,chocolate",coffee
chocolate,"beef,coffee"
"chocolate,cornflour",beef
"beef,chocolate",flour
chocolate,"beef,flour"
"chocolate,lime",beef
"chocolate,mushroom",beef
"chocolate,orange",beef
"chocolate,spongecake",beef
"chocolate,water",beef
"chocolate,wine",beef
"beef,cookingoil",coffee
cookingoil,"beef,coffee"
"beef,cornflour",coffee
"coffee,cornflour",beef
cornflour,"beef,coffee"
"coffee,flour",beef
"beef,flour",coffee
coffee,"beef,flour"
"beef,fruitjuice",coffee
"coffee,lamb",beef
"coffee,lettuce",beef
"beef,lettuce",coffee
lettuce,"beef,coffee"
"coffee,lime",beef
"coffee,mushroom",beef
"coffee,onion",beef
"beef,onion",coffee
onion,"beef,coffee"
"coffee,pasta",beef
"beef,pastry",coffee
pastry,"beef,coffee"
"coffee,pork",beef
"beef,pork",coffee
"beef,potato",coffee
"coffee,potato",beef
potato,"beef,coffee"
"coffee,sausage",beef
"beef,sausage",coffee
sausage,"beef,coffee"
"coffee,scallop",beef
"coffee,softdrink",beef
"coffee,spongecake",beef
spongecake,"beef,coffee"
"coffee,teagreen",beef
"coffee,tomato",beef
"beef,tomato",coffee
tomato,"beef,coffee"
"coffee,veal",beef
"beef,veal",coffee
veal,"beef,coffee"
"coffee,water",beef
"beef,water",coffee
water,"beef,coffee"
"coffee,wine",beef
"beef,wine",coffee
wine,"beef,coffee"
"coffee,winered",beef
"beef,winered",coffee
"beef,coffee",winered
winered,"beef,coffee"
coffee,"beef,winered"
"coffee,winewhite",beef
"beef,winewhite",coffee
winewhite,"beef,coffee"
"cornflour,flour",beef
cornflour,"beef,flour"
"cornflour,orange",beef
"cornflour,scallop",beef
"cornflour,softdrink",beef
"cornflour,spongecake",beef
"cornflour,veal",beef
"cornflour,winered",beef
cornflour,"beef,winered"
"beef,fruitjuice",flour
"beef,grapefruit",flour
grapefruit,"beef,flour"
"beef,lamb",flour
lamb,"beef,flour"
"flour,lettuce",beef
"beef,lettuce",flour
lettuce,"beef,flour"
"flour,lime",beef
lime,"beef,flour"
"flour,mushroom",beef
"beef,mushroom",flour
mushroom,"beef,flour"
"flour,onion",beef
onion,"beef,flour"
"beef,pasta",flour
pasta,"beef,flour"
"beef,potato",flour
potato,"beef,flour"
"flour,sausage",beef
sausage,"beef,flour"
"flour,scallop",beef
"flour,spongecake",beef
"beef,spongecake",flour
spongecake,"beef,flour"
"flour,tomato",beef
"beef,tomato",flour
tomato,"beef,flour"
"beef,veal",flour
veal,"beef,flour"
"flour,water",beef
"flour,wine",beef
"beef,wine",flour
wine,"beef,flour"
"beef,winewhite",flour
winewhite,"beef,flour"
"beef,fruitjuice",winered
"beef,grapefruit",winered
grapefruit,"beef,winered"
"lettuce,winered",beef
"beef,lettuce",winered
lettuce,"beef,winered"
"lime,orange",beef
"lime,pork",beef
"lime,spongecake",beef
"lime,veal",beef
"lime,winered",beef
"beef,lime",winered
lime,"beef,winered"
"lime,winewhite",beef
"mushroom,orange",beef
"mushroom,pork",beef
"mushroom,spongecake",beef
"mushroom,veal",beef
"mushroom,winered",beef
"mushroom,winewhite",beef
"onion,winered",beef
"beef,onion",winered
onion,"beef,winered"
"orange,scallop",beef
"orange,water",beef
"orange,wine",beef
"beef,orange",winered
orange,"beef,winered"
"beef,pasta",winered
pasta,"beef,winered"
"beef,pastry",winered
pastry,"beef,winered"
"pork,scallop",beef
"pork,water",beef
"pork,wine",beef
"beef,potato",winered
potato,"beef,winered"
"sausage,winered",beef
"beef,sausage",winered
sausage,"beef,winered"
"scallop,spongecake",beef
"scallop,veal",beef
"scallop,winered",beef
"scallop,winewhite",beef
"softdrink,spongecake",beef
"beef,softdrink",winered
softdrink,"beef,winered"
"spongecake,water",beef
"spongecake,wine",beef
"spongecake,winered",beef
"beef,spongecake",winered
spongecake,"beef,winered"
"spongecake,winewhite",beef
"tomato,winered",beef
tomato,"beef,winered"
"tomato,winewhite",beef
"veal,water",beef
"veal,wine",beef
"water,winered",beef
"water,winewhite",beef
"wine,winered",beef
"beef,wine",winered
wine,"beef,winered"
"wine,winewhite",beef
"biscuit,flour",coffee
"biscuit,winered",coffee
"bread,flour",coffee
"bread,coffee",flour
"bread,winered",coffee
"bread,coffee",winered
bread,"flour,winered"
"butter,chocolate",flour
"butter,chocolate",winered
"butter,coffee",flour
"butter,winered",coffee
"butter,coffee",winered
"butter,orange",flour
"butter,pork",flour
"butter,spongecake",flour
"butter,veal",flour
"butter,flour",winered
"butter,winered",flour
butter,"flour,winered"
"butter,winewhite",flour
"butter,spongecake",winered
"cakemix,chocolate",flour
"cakemix,winewhite",flour
"chicken,chocolate",flour
"chicken,winered",coffee
"chicken,coffee",winered
"chicken,winewhite",coffee
"chicken,cornflour",flour
"chicken,pork",flour
"chicken,spongecake",flour
"chicken,veal",flour
"chicken,winewhite",flour
"chicken,spongecake",winered
"chocolate,flour",coffee
"chocolate,coffee",flour
"chocolate,pork",coffee
"chocolate,veal",coffee
"chocolate,winered",coffee
"chocolate,winewhite",coffee
"chocolate,cornflour",flour
"chocolate,fruitjuice",flour
"chocolate,grapefruit",flour
"chocolate,lime",flour
"chocolate,mushroom",flour
"chocolate,orange",flour
"chocolate,pasta",flour
"chocolate,pork",flour
"chocolate,potato",flour
"chocolate,scallop",flour
"chocolate,softdrink",flour
"chocolate,spongecake",flour
"chocolate,veal",flour
"chocolate,water",flour
"chocolate,wine",flour
"chocolate,winered",flour
chocolate,"flour,winered"
"chocolate,winewhite",flour
"chocolate,spongecake",winered
"cornflour,flour",coffee
"cornflour,winered",coffee
"coffee,cornflour",winered
"cornflour,winewhite",coffee
"flour,fruitjuice",coffee
"coffee,fruitjuice",flour
"coffee,grapefruit",flour
"coffee,lamb",flour
"flour,lettuce",coffee
"coffee,lettuce",flour
"coffee,lime",flour
"coffee,mushroom",flour
"flour,onion",coffee
"coffee,pasta",flour
"coffee,pork",flour
"flour,potato",coffee
"coffee,potato",flour
"flour,sausage",coffee
"coffee,sausage",flour
"coffee,spongecake",flour
"flour,tomato",coffee
"coffee,veal",flour
"flour,wine",coffee
"coffee,wine",flour
"flour,winered",coffee
"coffee,flour",winered
coffee,"flour,winered"
"flour,winewhite",coffee
"coffee,winewhite",flour
"fruitjuice,winered",coffee
"coffee,fruitjuice",winered
"coffee,grapefruit",winered
"grapefruit,winewhite",coffee
"coffee,lamb",winered
"lime,winered",coffee
"coffee,lime",winered
"lime,winewhite",coffee
"onion,winered",coffee
"coffee,onion",winered
"coffee,orange",winered
"coffee,pasta",winered
"pork,winered",coffee
"coffee,pork",winered
"pork,winewhite",coffee
"potato,winered",coffee
"coffee,potato",winered
"potato,winewhite",coffee
"sausage,winered",coffee
"coffee,sausage",winered
"coffee,softdrink",winered
"spongecake,veal",coffee
"spongecake,winered",coffee
"coffee,spongecake",winered
"spongecake,winewhite",coffee
"tomato,winered",coffee
"coffee,tomato",winered
"veal,winered",coffee
"coffee,veal",winered
"veal,winewhite",coffee
"water,winered",coffee
"water,winewhite",coffee
"wine,winered",coffee
"coffee,wine",winered
"wine,winewhite",coffee
"winered,winewhite",coffee
"coffee,winewhite",winered
"cornflour,spongecake",flour
"cornflour,veal",flour
"cornflour,spongecake",winered
"fruitjuice,spongecake",flour
fruitjuice,"flour,winered"
"fruitjuice,winewhite",flour
"grapefruit,spongecake",flour
"flour,grapefruit",winered
"grapefruit,winered",flour
grapefruit,"flour,winered"
"grapefruit,winewhite",flour
"lamb,winered",flour
lamb,"flour,winered"
"lettuce,winered",flour
"flour,lettuce",winered
lettuce,"flour,winered"
"lime,orange",flour
"lime,veal",flour
"lime,winewhite",flour
"mushroom,orange",flour
"mushroom,pork",flour
"mushroom,spongecake",flour
"mushroom,veal",flour
"mushroom,winered",flour
"mushroom,winewhite",flour
"orange,pasta",flour
"orange,potato",flour
"orange,veal",flour
orange,"flour,winered"
"pasta,spongecake",flour
"flour,pasta",winered
"pasta,winered",flour
pasta,"flour,winered"
"pasta,winewhite",flour
"flour,pastry",winered
"pork,potato",flour
"pork,softdrink",flour
"pork,spongecake",flour
"pork,veal",flour
"pork,winewhite",flour
"flour,potato",winered
"potato,winered",flour
potato,"flour,winered"
"potato,winewhite",flour
sausage,"flour,winered"
"softdrink,veal",flour
"flour,softdrink",winered
softdrink,"flour,winered"
"spongecake,veal",flour
"flour,spongecake",winered
spongecake,"flour,winered"
